Employee_ID,Provider_Name,Primary_Division,Department,Provider_Type,Specialty,Benchmark_Group,Population,Compensation_Plan,Years_of_Experience,Current_FTE,Clinical_FTE,Current_Base_Salary,Current_TCC,Current_CF,Current_Target_WRVUs,Prior_Year_WRVUs,Current_TCC_Percentile,WRVU_Percentile,Evaluation_Score,Percent_of_Year_Employed,Prior_Year_WRVU_Incentive,Current_Compa_Ratio
PHY1021,John Allen,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,1.4,0.7,0.7,146252,177795,41.5,5757,6166,65,59,3,,,
PHY1022,Joshua Perez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,4.4,0.6,0.6,203367,205665,38.3,4148,4208,43,33,1,,,
PHY1023,Karen Wilson,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,7.1,0.9,0.9,195325,397005,48.9,4512,8638,97,90,5,,,
PHY1024,Steven Thompson,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,20.2,0.7,0.7,218857,228285,47.9,5876,6073,66,57,5,,,
PHY1025,Andrew Gonzalez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,15.8,0.9,0.9,226997,410875,56.8,4967,8207,81,84,3,,,
PHY1026,Kenneth Harris,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,21.7,0.9,0.9,211870,371660,39.6,4717,8750,98,93,4,,,
PHY1027,Paul Davis,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,21.2,1,1,227331,227331,49.1,5178,2971,16,18,3,,,
PHY1028,Sandra Lewis,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,12.9,0.6,0.6,225705,225705,40,4244,3287,27,23,1,,,
PHY1029,Mary Hernandez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,17.5,0.7,0.7,213627,374443,56.5,5565,8409,87,84,2,,,
PHY1030,Nancy Lopez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,6.5,0.9,0.9,203782,270607,48.5,5220,6348,56,64,1,,,
PHY1031,Mary Wilson,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,6,0.7,0.7,202983,352825,59.8,5453,7960,83,78,4,,,
PHY1032,Charles Rodriguez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,19.6,0.8,0.8,226760,357127,39.3,4206,7522,78,78,5,,,
PHY1033,David Garcia,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,13.8,0.9,0.9,220070,230649,41,5926,4068,25,31,5,,,
PHY1034,Betty Robinson,Urology,Urology,physician,Urology,,physician,hybrid,1.2,1,1,362593,362593,49.9,4710,2805,16,17,1,,,
PHY1035,Donald Lee,Neonatology,Neonatology,physician,Neonatology,,physician,hybrid,4.7,0.9,0.9,298763,483178,38.1,4341,8968,89,96,5,,,
PHY1036,Michelle Wilson,Neonatology,Neonatology,physician,Neonatology,,physician,wrvu,5.1,0.8,0.8,328936,358200,54.3,5115,5654,49,50,2,,,
PHY1037,Matthew Johnson,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,hybrid,16.6,0.6,0.6,223914,273992,57.6,5908,6777,66,66,3,,,
PHY1038,Lisa White,Urology,Urology,physician,Urology,,physician,hybrid,0.4,0.9,0.9,365111,365111,36.1,5728,3691,35,27,3,,,
PHY1039,Robert Thompson,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,12.4,0.8,0.8,306650,306650,47.2,5885,3288,10,20,5,,,
PHY1040,Robert Lee,Neurology,Neurology,physician,Neurology,,physician,hybrid,12.2,0.9,0.9,357370,481321,49.3,5525,8038,94,85,5,,,
PHY1041,Linda Brown,Surgery,Surgery,physician,General Surgery,,physician,hybrid,24.8,0.6,0.6,360838,395675,47.8,6186,6915,74,71,2,,,
PHY1042,Linda Anderson,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,18.1,0.6,0.6,272764,348952,39.3,4598,6536,70,65,1,,,
PHY1043,Steven Scott,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,wrvu,6.4,0.8,0.8,277169,277169,57.6,5167,4979,53,43,1,,,
PHY1044,Mark Williams,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,wrvu,16.1,0.9,0.9,318123,431179,46.4,5491,7927,82,78,4,,,
PHY1045,Margaret Perez,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,wrvu,15.8,1,1,221915,235740,54.5,4000,2892,17,12,4,,,
PHY1046,James Taylor,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,20.6,0.7,0.7,286403,332614,40.8,5857,6742,67,65,3,,,
PHY1047,Mark Davis,Emergency Medicine,Emergency Medicine,physician,Emergency Medicine,,physician,hybrid,3.4,0.9,0.9,307058,510512,53.6,4705,8502,99,90,5,,,
PHY1048,Kimberly Wilson,Neurology,Neurology,physician,Neurology,,physician,hybrid,22.7,0.8,0.8,358077,358077,58,4583,3480,22,19,4,,,
PHY1049,Melissa Hernandez,Cardiology,Cardiology,physician,Cardiology,,physician,wrvu,24.1,0.7,0.7,416100,478671,58.7,4765,5831,51,55,3,,,
PHY1050,Sarah Moore,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,4.4,0.8,0.8,275500,296580,57.6,5648,6014,56,57,3,,,
PHY1051,Ashley Sanchez,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,wrvu,10.2,0.7,0.7,231924,231924,36.1,5775,4984,32,41,3,,,
PHY1052,Kimberly Garcia,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,wrvu,17.7,0.7,0.7,305274,305274,42.7,5552,4711,30,36,2,,,
PHY1053,Kevin Wright,Neurology,Neurology,physician,Neurology,,physician,wrvu,23.8,0.8,0.8,310086,343236,40.2,5654,6479,67,59,3,,,
PHY1054,David Johnson,Neonatology,Neonatology,physician,Neonatology,,physician,hybrid,21.4,0.6,0.6,301951,354734,48.8,5307,6388,72,64,1,,,
PHY1055,William Torres,Surgery,Surgery,physician,General Surgery,,physician,hybrid,9.7,0.9,0.9,398443,398443,48.9,5102,4609,36,41,3,,,
PHY1056,Nancy Lee,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,wrvu,18.2,0.8,0.8,183869,183869,45.8,6493,3941,23,26,4,,,
PHY1057,Betty Jackson,Surgery,Surgery,physician,General Surgery,,physician,hybrid,9.5,1,1,343756,343756,53.4,5096,4765,44,37,2,,,
PHY1058,Jennifer Nguyen,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,1.1,0.9,0.9,365369,483152,49.8,4163,6528,65,66,3,,,
PHY1059,Mary Thomas,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,wrvu,1.3,0.8,0.8,392447,392447,47.6,5001,2606,13,9,4,,,
PHY1060,George Wright,Orthopedics,Orthopedics,physician,Orthopedics,,physician,hybrid,22.2,0.7,0.7,443875,582253,53,5273,7848,71,78,1,,,
PHY1061,Amanda Clark,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,15.8,0.6,0.6,375855,488220,51.2,5720,7659,69,74,5,,,
PHY1062,Melissa Thompson,Neurology,Neurology,physician,Neurology,,physician,hybrid,5.1,0.6,0.6,341476,586736,55.5,4098,8521,83,86,2,,,
PHY1063,Patricia Sanchez,Urology,Urology,physician,Urology,,physician,hybrid,13.6,0.8,0.8,377572,377572,51.8,5477,2915,12,18,3,,,
PHY1064,John Nguyen,Emergency Medicine,Emergency Medicine,physician,Emergency Medicine,,physician,wrvu,5,0.7,0.7,314322,345111,50.6,5522,6131,51,59,4,,,
PHY1065,Nancy Young,Neurology,Neurology,physician,Neurology,,physician,wrvu,3.7,0.8,0.8,353916,353916,51.7,5001,3765,22,30,3,,,
PHY1066,Dorothy Hernandez,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,hybrid,12.3,0.9,0.9,239266,239266,44.3,5810,4809,36,40,2,,,
PHY1067,Sarah Hernandez,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,hybrid,5.2,0.6,0.6,223963,236331,53,4388,4172,28,31,4,,,
PHY1068,Mark Gonzalez,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,19.5,0.9,0.9,263898,263898,53.8,5665,5629,48,50,2,,,
PHY1069,Steven Anderson,Orthopedics,Orthopedics,physician,Orthopedics,,physician,hybrid,4.7,0.9,0.9,405756,599555,55,5401,8926,99,93,2,,,
PHY1070,Robert Harris,Neurology,Neurology,physician,Neurology,,physician,wrvu,0.5,0.7,0.7,337345,344325,53.4,4420,4047,39,33,2,,,
PHY1071,Michelle Anderson,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,6.4,0.6,0.6,394494,523064,53.3,5881,8291,92,84,4,,,
PHY1072,Donald Sanchez,Urology,Urology,physician,Urology,,physician,hybrid,12.8,1,1,361853,440654,45.8,6396,7825,84,77,2,,,
PHY1073,Margaret Wright,Neurology,Neurology,physician,Neurology,,physician,hybrid,10.2,0.7,0.7,322510,335158,48.8,4111,4370,24,32,5,,,
PHY1074,Melissa Clark,Urology,Urology,physician,Urology,,physician,wrvu,6.2,0.7,0.7,407850,561852,41,4563,8321,86,84,3,,,
PHY1075,Mark Anderson,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,hybrid,12.2,0.8,0.8,393650,393650,47.8,5650,3911,20,27,5,,,
PHY1076,John Perez,Neonatology,Neonatology,physician,Neonatology,,physician,wrvu,18.9,0.7,0.7,309579,309579,36.7,5247,2955,17,16,5,,,
PHY1077,George Miller,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,0.1,0.9,0.9,382386,382386,54.9,5308,3025,10,14,4,,,
PHY1078,Emily Robinson,Surgery,Surgery,physician,General Surgery,,physician,wrvu,24.1,0.8,0.8,325371,370254,56.6,6280,7073,72,70,2,,,
PHY1079,George Hill,Neonatology,Neonatology,physician,Neonatology,,physician,hybrid,18.1,1,1,339982,339982,41.8,5989,2955,23,18,5,,,
PHY1080,Melissa Allen,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,21.5,0.8,0.8,364690,439758,57.7,4936,6119,53,59,4,,,
PHY1081,Joseph Smith,Orthopedics,Orthopedics,physician,Orthopedics,,physician,hybrid,3.7,0.7,0.7,380301,380301,58.6,6424,4731,31,38,3,,,
PHY1082,Carol Lewis,Emergency Medicine,Emergency Medicine,physician,Emergency Medicine,,physician,wrvu,20.1,0.9,0.9,356781,356781,52.7,5798,4093,29,28,5,,,
PHY1083,Thomas Torres,Emergency Medicine,Emergency Medicine,physician,Emergency Medicine,,physician,hybrid,23.7,0.9,0.9,285097,337918,40.4,4495,5802,52,50,2,,,
PHY1084,Michael Sanchez,Orthopedics,Orthopedics,physician,Orthopedics,,physician,wrvu,21.8,0.7,0.7,404754,418955,37.8,4085,3761,25,25,2,,,
PHY1085,Richard Ramirez,Neonatology,Neonatology,physician,Neonatology,,physician,hybrid,11.8,0.8,0.8,269345,269345,59.4,5338,2909,14,13,5,,,
PHY1086,Jessica Martinez,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,wrvu,5.5,0.8,0.8,239438,287497,45.7,4849,5901,42,52,2,,,
PHY1087,William Moore,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,23,1,1,407733,502425,51.1,5041,6621,66,64,2,,,
PHY1088,Ashley Thompson,Surgery,Surgery,physician,General Surgery,,physician,wrvu,6.3,0.8,0.8,352839,384701,41.4,4928,5493,43,48,4,,,
PHY1089,Robert Moore,Orthopedics,Orthopedics,physician,Orthopedics,,physician,wrvu,20.6,0.9,0.9,410501,505964,47,4220,6158,62,57,3,,,
PHY1090,Nancy Allen,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,hybrid,15.5,0.8,0.8,444172,561694,41.7,5719,8536,80,86,1,,,
PHY1091,Nancy Perez,Orthopedics,Orthopedics,physician,Orthopedics,,physician,hybrid,7.3,0.8,0.8,361121,384991,57,4786,5205,54,46,2,,,
PHY1092,Jennifer Williams,Surgery,Surgery,physician,General Surgery,,physician,hybrid,10.7,0.7,0.7,349846,380188,56.1,6141,6430,67,61,4,,,
PHY1093,Kenneth Gonzalez,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,4.5,0.6,0.6,290684,434468,47.8,4537,7543,74,78,1,,,
PHY1094,Robert Smith,Emergency Medicine,Emergency Medicine,physician,Emergency Medicine,,physician,wrvu,19.3,0.6,0.6,339135,345695,37.1,4193,4370,38,38,3,,,
PHY1095,Charles Brown,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,hybrid,24.7,0.8,0.8,418305,422779,38,4402,3017,12,14,4,,,
PHY1096,Jennifer Miller,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,11.1,1,1,276986,276986,45.7,4167,3160,16,18,1,,,
PHY1097,Joshua Clark,Urology,Urology,physician,Urology,,physician,wrvu,4.5,1,1,356669,356669,58.5,5519,5289,57,48,2,,,
PHY1098,Amanda Davis,Neurology,Neurology,physician,Neurology,,physician,hybrid,22.6,0.7,0.7,316234,316234,45.6,4996,4858,30,37,1,,,
PHY1099,Joshua Lee,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,hybrid,0.7,0.9,0.9,397299,397299,53.9,5848,5551,51,52,3,,,
PHY1100,George Young,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,hybrid,14.1,0.7,0.7,261747,442080,46.8,4394,8245,87,83,3,,,
PHY1101,John Miller,Neonatology,Neonatology,physician,Neonatology,,physician,wrvu,13.5,0.7,0.7,280053,280053,59.9,6406,5970,50,54,1,,,
PHY1102,Melissa Garcia,Urology,Urology,physician,Urology,,physician,hybrid,11.8,0.6,0.6,376530,376530,40,6317,5285,49,48,3,,,
PHY1103,Robert Lopez,Surgery,Surgery,physician,General Surgery,,physician,hybrid,2.9,1,1,387450,387450,54.7,5906,5801,60,51,5,,,
PHY1104,Robert Wilson,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,wrvu,21.9,0.8,0.8,410383,563400,41.5,4079,7770,71,77,2,,,
PHY1105,Melissa Brown,Cardiology,Cardiology,physician,Cardiology,,physician,wrvu,9.2,0.7,0.7,400893,400893,40.5,4493,4046,36,28,3,,,
PHY1106,Kevin Lee,Urology,Urology,physician,Urology,,physician,wrvu,3.8,0.9,0.9,407378,422303,51.7,4185,3054,11,15,1,,,
PHY1107,Joseph Ramirez,Urology,Urology,physician,Urology,,physician,wrvu,11.5,0.7,0.7,368871,402515,39.2,5556,6415,65,61,1,,,
PHY1108,Kevin Harris,Hospitalist,Hospitalist,physician,Hospital Medicine,,physician,hybrid,19.3,0.8,0.8,288726,300215,48.9,6359,3725,16,26,5,,,
PHY1109,Dorothy Rodriguez,Surgery,Surgery,physician,General Surgery,,physician,wrvu,1.8,1,1,402606,514462,45.9,4386,6821,61,70,5,,,
PHY1110,Thomas Lopez,Neurology,Neurology,physician,Neurology,,physician,hybrid,18.9,1,1,298832,298832,48,6305,3641,35,27,3,,,
PHY1111,Anthony Lopez,Neonatology,Neonatology,physician,Neonatology,,physician,hybrid,2.4,0.9,0.9,271154,460647,59.1,4073,7277,71,74,4,,,
PHY1112,David Jones,General Pediatrics,General Pediatrics,physician,Pediatrics,,physician,wrvu,2.1,0.8,0.8,254184,378480,39.4,4874,7765,81,75,2,,,
PHY1113,Richard Hernandez,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,wrvu,13.8,0.8,0.8,246144,323037,59.7,5676,6964,78,69,1,,,
PHY1114,Robert Torres,Cardiothoracic,Cardiothoracic,physician,Cardiothoracic Surgery,,physician,wrvu,20.1,0.7,0.7,463207,517952,37.3,5379,6845,59,66,5,,,
PHY1115,Melissa Ramirez,Cardiology,Cardiology,physician,Cardiology,,physician,hybrid,17.9,0.9,0.9,400826,413032,46.1,4065,4330,28,35,5,,,
PHY1116,Matthew Allen,Orthopedics,Orthopedics,physician,Orthopedics,,physician,wrvu,19,0.7,0.7,410136,420427,56.9,5449,2713,14,11,1,,,
PHY1117,Susan Perez,Emergency Medicine,Emergency Medicine,physician,Emergency Medicine,,physician,wrvu,2.4,0.7,0.7,284522,296240,40.6,6079,3529,27,24,4,,,
PHY1118,Michael Harris,Behavioral Health,Behavioral Health,physician,Child Psychiatry,,physician,wrvu,20.2,0.7,0.7,245207,305830,55,4116,5218,43,45,4,,,
PHY1119,Daniel Flores,Orthopedics,Orthopedics,physician,Orthopedics,,physician,wrvu,15,0.9,0.9,395927,422181,49,6319,6580,66,67,3,,,
APP2000,Lisa Lopez,Cardiothoracic,,app,,Cardiothoracic,app,salary,18,0.7,,140923,140923,,,,,,5,,,
APP2001,Betty Davis,Behavioral Health,,app,,Child_Psych,app,salary,13.5,0.8,,157144,157144,,,,,,3,,,
APP2002,William Anderson,Behavioral Health,,app,,Child_Psych,app,salary,15.9,0.8,,125495,125495,,,,,,2,,,
APP2003,Robert Thompson,Neonatology,,app,,Neonatal,app,salary,13.3,0.9,,172124,172124,,,,,,4,,,
APP2004,Daniel Thomas,Neonatology,,app,,Neonatal,app,salary,2.3,0.8,,121484,121484,,,,,,1,,,
APP2005,Andrew Clark,Cardiothoracic,,app,,Cardiothoracic,app,salary,2.3,0.8,,132456,132456,,,,,,5,,,
APP2006,Melissa Hernandez,General Pediatrics,,app,,Combined_General,app,salary,14.5,0.9,,165362,172614,,,,,,5,,,
APP2007,David Williams,General Pediatrics,,app,,Combined_General,app,salary,17.1,0.7,,113652,121415,,,,,,1,,,
APP2008,Melissa Robinson,Behavioral Health,,app,,Child_Psych,app,salary,7.6,0.9,,170212,170212,,,,,,4,,,
APP2009,David Young,Emergency Medicine,,app,,Emergency,app,salary,11.1,0.7,,105470,105470,,,,,,2,,,
APP2010,Karen Miller,Emergency Medicine,,app,,Emergency,app,salary,13.4,0.9,,159249,159249,,,,,,4,,,
APP2011,Anthony Thompson,Cardiothoracic,,app,,Cardiothoracic,app,salary,6.3,0.7,,107637,109504,,,,,,1,,,
APP2012,Carol Thomas,Behavioral Health,,app,,Child_Psych,app,salary,9.4,0.9,,153250,153250,,,,,,1,,,
APP2013,Amanda Nguyen,Neonatology,,app,,Neonatal,app,salary,6.7,0.8,,167709,172129,,,,,,3,,,
APP2014,Susan Clark,General Pediatrics,,app,,Combined_General,app,salary,2.7,0.6,,130968,130968,,,,,,3,,,
APP2015,Jennifer Hill,General Pediatrics,,app,,Combined_General,app,salary,1,0.9,,126238,131294,,,,,,1,,,
APP2016,Richard Lewis,Emergency Medicine,,app,,Emergency,app,salary,7.1,0.7,,152324,152324,,,,,,1,,,
APP2017,Michelle Martinez,Neonatology,,app,,Neonatal,app,salary,5.9,0.8,,108289,111333,,,,,,2,,,
APP2018,William Wilson,General Pediatrics,,app,,Combined_General,app,salary,7.4,0.7,,121589,121589,,,,,,2,,,
APP2019,Andrew Gonzalez,Neonatology,,app,,Neonatal,app,salary,16.7,0.9,,179072,183154,,,,,,3,,,
APP2020,Carol Johnson,Behavioral Health,,app,,Child_Psych,app,salary,13.8,1,,151595,151595,,,,,,5,,,
APP2021,William Flores,Emergency Medicine,,app,,Emergency,app,salary,1.6,1,,127096,129702,,,,,,1,,,
APP2022,Kimberly Moore,Behavioral Health,,app,,Child_Psych,app,salary,12.1,0.7,,116258,116258,,,,,,5,,,
APP2023,Nancy Thompson,Emergency Medicine,,app,,Emergency,app,salary,9.1,0.6,,134636,136733,,,,,,3,,,
APP2024,Mary Ramirez,General Pediatrics,,app,,Combined_General,app,salary,2.7,0.7,,125262,132775,,,,,,2,,,
APP2025,Donna Johnson,Cardiothoracic,,app,,Cardiothoracic,app,salary,19.1,0.8,,151804,151804,,,,,,4,,,
APP2026,Barbara Thompson,General Pediatrics,,app,,Combined_General,app,salary,15,1,,100976,104793,,,,,,4,,,
APP2027,Michael Brown,Emergency Medicine,,app,,Emergency,app,salary,0.1,0.9,,151883,156757,,,,,,3,,,
APP2028,George Hill,Behavioral Health,,app,,Child_Psych,app,salary,3.8,1,,160603,160603,,,,,,2,,,
APP2029,Steven Thompson,Emergency Medicine,,app,,Emergency,app,salary,19.8,1,,125438,129827,,,,,,3,,,
APP2030,Emily Smith,Behavioral Health,,app,,Child_Psych,app,salary,17.5,0.8,,107346,109355,,,,,,2,,,
APP2031,William Walker,Emergency Medicine,,app,,Emergency,app,salary,5.8,0.9,,101083,101083,,,,,,1,,,
APP2032,Donald Jackson,Behavioral Health,,app,,Child_Psych,app,salary,10.5,0.9,,121026,127715,,,,,,2,,,
APP2033,Michelle Smith,Neonatology,,app,,Neonatal,app,salary,6,0.7,,159660,167110,,,,,,3,,,
APP2034,Jessica Scott,Neonatology,,app,,Neonatal,app,salary,15.6,0.8,,174438,174438,,,,,,4,,,
APP2035,David Jackson,Cardiothoracic,,app,,Cardiothoracic,app,salary,19.3,0.6,,125194,130953,,,,,,4,,,
APP2036,Michael Nguyen,Cardiothoracic,,app,,Cardiothoracic,app,salary,5,1,,165944,165944,,,,,,5,,,
APP2037,Mary Wilson,Emergency Medicine,,app,,Emergency,app,salary,0.8,1,,114765,114765,,,,,,3,,,
APP2038,Thomas Sanchez,Emergency Medicine,,app,,Emergency,app,salary,13.9,0.9,,143174,143174,,,,,,2,,,
APP2039,Patricia Martin,Emergency Medicine,,app,,Emergency,app,salary,19.5,0.9,,157219,157219,,,,,,5,,,
APP2040,Paul King,Emergency Medicine,,app,,Emergency,app,salary,10.7,0.9,,105271,110852,,,,,,5,,,
APP2041,Lisa Davis,Neonatology,,app,,Neonatal,app,salary,0.9,0.9,,134858,142713,,,,,,4,,,
APP2042,Carol Martin,General Pediatrics,,app,,Combined_General,app,salary,10.8,0.7,,122941,124352,,,,,,5,,,
APP2043,Sandra Anderson,General Pediatrics,,app,,Combined_General,app,salary,12.6,0.6,,138022,139761,,,,,,1,,,
APP2044,Jennifer Martinez,Cardiothoracic,,app,,Cardiothoracic,app,salary,0.7,0.9,,112220,112220,,,,,,5,,,
APP2045,John Smith,Behavioral Health,,app,,Child_Psych,app,salary,18.5,0.7,,144817,144817,,,,,,5,,,
APP2046,Barbara Johnson,Emergency Medicine,,app,,Emergency,app,salary,1.2,0.7,,138520,146399,,,,,,3,,,
APP2047,Joshua Flores,General Pediatrics,,app,,Combined_General,app,salary,0.8,1,,125446,125446,,,,,,4,,,
APP2048,Joshua Harris,Emergency Medicine,,app,,Emergency,app,salary,3.5,0.9,,175458,175458,,,,,,1,,,
APP2049,Linda Anderson,Cardiothoracic,,app,,Cardiothoracic,app,salary,9.9,0.9,,115918,115918,,,,,,2,,,
APP2050,Linda Gonzalez,Behavioral Health,,app,,Child_Psych,app,salary,15,0.9,,169067,169067,,,,,,3,,,
APP2051,Donald Davis,Neonatology,,app,,Neonatal,app,salary,16.6,0.7,,146648,148974,,,,,,4,,,
APP2052,George Ramirez,Behavioral Health,,app,,Child_Psych,app,salary,17.3,0.8,,100553,100553,,,,,,3,,,
APP2053,Anthony Perez,Behavioral Health,,app,,Child_Psych,app,salary,7.9,1,,115985,115985,,,,,,4,,,
APP2054,George Williams,Behavioral Health,,app,,Child_Psych,app,salary,15.8,0.7,,139311,145930,,,,,,2,,,
APP2055,Paul Nguyen,Cardiothoracic,,app,,Cardiothoracic,app,salary,13.8,0.9,,168533,168533,,,,,,4,,,
APP2056,Steven Torres,Cardiothoracic,,app,,Cardiothoracic,app,salary,13.9,0.9,,107859,107859,,,,,,4,,,
APP2057,Donna Williams,General Pediatrics,,app,,Combined_General,app,salary,6.2,0.6,,128807,128807,,,,,,4,,,
APP2058,Carol Perez,Neonatology,,app,,Neonatal,app,salary,0.7,0.9,,128043,128043,,,,,,5,,,
APP2059,George Scott,General Pediatrics,,app,,Combined_General,app,salary,16.1,0.8,,153971,158882,,,,,,5,,,
APP2060,Sarah Martin,Neonatology,,app,,Neonatal,app,salary,1.7,0.6,,120681,120681,,,,,,3,,,
